定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
11:55,,茨城,,着陸,X,12:00,5
12:00,12:00,大阪,,D82,S,12:07,0
12:00,12:00,東京,,D7,X,12:04,0
12:00,,札幌/新千歳,,着陸,X,12:05,5
12:00,,大阪,,着陸,X,12:06,6
12:00,,東京,,着陸,X,12:07,7
12:05,12:05,沖縄/那覇,,D9,S,12:09,0
12:05,12:05,ソウル/仁川,,I55,X,12:12,0
12:10,12:10,東京,,D3,S,12:14,0
12:10,,出雲,,着陸,X,12:13,3
12:10,,沖縄/那覇,,着陸,X,12:14,4
12:10,,東京,,着陸,S,12:15,5
12:15,,宮崎,,着陸,X,12:15,0
12:20,12:20,台北/桃園,,I53,S,12:27,0
12:20,,仙台,,着陸,X,12:20,0
12:25,12:25,東京,,D10,X,12:30,0
12:25,12:25,石垣,,D1,S,12:29,0
12:25,12:25,宮崎,,D82,S,12:32,0
12:25,,東京,,着陸,X,12:31,6
12:30,12:30,信州松本,,D5,X,12:35,0
12:30,12:30,仙台,,D81,S,12:37,0
12:35,12:35,札幌/新千歳,,D12,X,12:41,0
12:35,12:35,沖縄/那覇,,D4,S,12:39,0
12:40,12:40,ソウル/仁川,,I56,S,12:48,0
12:40,,徳島,,着陸,X,12:42,2
12:50,12:50,名古屋/中部,,D81,X,12:58,0
12:50,12:50,宮崎,,D11,S,12:55,0
12:50,12:52,東京,,D6,S,12:56,2
12:50,,東京,,着陸,S,12:57,7
12:50,,沖縄/那覇,,着陸,S,12:58,8
12:55,12:55,沖縄/那覇,,D11,X,13:00,0
13:00,13:00,東京,,D8,S,13:04,0
13:00,13:00,屋久島,,D81,X,13:08,0
13:05,,沖縄/那覇,,着陸,S,13:05,0
13:10,,東京,,着陸,S,13:10,0
13:10,,札幌/新千歳,,着陸,X,13:10,0
13:15,13:15,松山,,D6,S,13:19,0
13:15,,香港,,着陸,X,13:15,0
13:15,,沖縄/那覇,,着陸,X,13:16,1
13:20,13:20,東京,,D9,X,13:25,0
13:20,,仙台,,着陸,S,13:20,0
13:25,13:25,沖縄/那覇,,D12,S,13:30,0
13:25,,東京,,着陸,X,13:26,1
13:25,,福江,,着陸,X,13:27,2
13:35,,名古屋/中部,,着陸,X,13:35,0
13:40,,札幌/新千歳,,着陸,S,13:40,0
13:40,,東京,,着陸,X,13:40,0
13:45,,台北/桃園,,着陸,S,13:45,0
13:50,13:50,沖縄/那覇,,D11,X,13:55,0
13:50,13:50,東京,,D5,S,13:54,0
13:50,,屋久島,,着陸,S,13:55,5
13:55,13:55,仙台,,D11,S,14:00,0
13:55,,東京,,着陸,X,13:56,1
13:55,,対馬,,着陸,X,13:57,2
14:00,14:00,関西,,D2,X,14:05,0
14:00,14:00,札幌/新千歳,,D4,S,14:04,0
14:00,,松山,,着陸,S,14:05,5
14:05,14:05,対馬,,D81,S,14:12,0
14:05,14:05,東京,,D7,X,14:09,0
14:05,,新潟,,着陸,X,14:10,5
14:05,,東京,,着陸,X,14:11,6
14:05,,プサン,,着陸,X,14:12,7
14:15,14:15,東京,,D10,S,14:20,0
14:15,14:15,東京,,D6,X,14:19,0
14:15,14:15,香港,,I53,X,14:22,0
14:15,,沖縄/那覇,,着陸,S,14:21,6
14:20,,大阪,,着陸,S,14:22,2
14:25,14:25,札幌/新千歳,,D8,S,14:29,0
14:25,14:25,小松,,D82,X,14:33,0
14:25,,東京,,着陸,S,14:30,5
14:25,,成田,,着陸,S,14:31,6
14:30,14:30,宮崎,,D6,S,14:34,0
14:30,14:30,鹿児島,,D81,X,14:38,0
14:30,,マニラ,,着陸,S,14:35,5
14:30,,東京,,着陸,S,14:36,6
14:40,14:40,新潟,,D3,S,14:44,0
14:45,14:45,名古屋/中部,,D1,X,14:50,0
14:45,14:45,東京,,D1,S,14:49,0
14:45,14:45,台北/桃園,,I56,S,14:53,0
14:55,14:55,プサン,,I54,X,15:02,0
