定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
11:25,,沖縄/那覇,,着陸,16L,11:25.0,0
11:25,,高知,,着陸,16R,11:25.0,0
11:25,11:25.0,札幌/新千歳,,D4,16L,11:28.7,0
11:30,,東京,,着陸,16R,11:30.0,0
11:30,,沖縄/那覇,,着陸,16L,11:30.0,0
11:30,,東京,,着陸,16L,11:31.0,1
11:30,11:30.0,小松,,D81,16R,11:36.9,0
11:35,11:35.0,成田,,D1,16L,11:38.5,0
11:40,11:40.0,札幌/新千歳,,D6,16R,11:43.8,0
11:40,11:40.0,いわて花巻,,D5,16L,11:42.9,0
11:40,11:40.0,名古屋/中部,,D11,16L,11:44.0,0
11:45,11:45.0,東京,,D8,16R,11:48.6,0
11:45,11:45.0,プサン,,I54,16L,11:51.3,0
11:50,,宮崎,,着陸,16R,11:50.0,0
11:50,11:50.0,東京,,D11,16R,11:54.6,0
11:55,,名古屋/小牧,,着陸,16L,11:55.0,0
11:55,,茨城,,着陸,16R,11:55.7,1
11:55,11:55.0,沖縄/那覇,,D2,16L,11:58.4,0
11:55,11:55.0,松山,,D6,16R,11:58.8,0
12:00,,札幌/新千歳,,着陸,16L,12:0.0,0
12:00,,大阪,,着陸,16R,12:0.0,0
12:00,,東京,,着陸,16L,12:1.0,1
12:00,12:00.0,大阪,,D82,16R,12:7.1,0
12:00,12:00.0,東京,,D7,16L,12:3.4,0
12:05,12:05.0,沖縄/那覇,,D9,16L,12:8.5,0
12:05,12:05.0,ソウル/仁川,,I55,16R,12:10.9,0
12:10,,出雲,,着陸,16L,12:10.0,0
12:10,,沖縄/那覇,,着陸,16L,12:11.0,1
12:10,,東京,,着陸,16R,12:12.0,2
12:10,12:10.0,東京,,D3,16L,12:13.5,0
12:15,,宮崎,,着陸,16R,12:15.0,0
12:20,,仙台,,着陸,16L,12:20.0,0
12:20,12:20.0,台北/桃園,,I53,16R,12:25.5,0
12:25,,東京,,着陸,16L,12:25.0,0
12:25,12:25.0,東京,,D10,16L,12:28.7,0
12:25,12:25.0,石垣,,D1,16R,12:29.1,0
12:25,12:25.0,宮崎,,D82,16L,12:31.4,0
12:30,12:30.0,信州松本,,D5,16R,12:33.6,0
12:30,12:30.0,仙台,,D81,16L,12:36.3,0
12:35,12:35.0,札幌/新千歳,,D12,16R,12:39.9,0
12:35,12:35.0,沖縄/那覇,,D4,16L,12:38.7,0
12:40,,徳島,,着陸,16L,12:40.0,0
12:40,12:40.0,ソウル/仁川,,I56,16R,12:46.2,0
12:50,,東京,,着陸,16L,12:50.0,0
12:50,,沖縄/那覇,,着陸,16R,12:50.0,0
12:50,12:50.0,名古屋/中部,,D81,16L,12:56.3,0
12:50,12:50.0,宮崎,,D11,16R,12:54.6,0
12:50,12:51.9,東京,,D6,16R,12:55.6,2
12:55,12:55.0,沖縄/那覇,,D11,16R,12:59.6,0
13:00,13:00.0,東京,,D8,16L,13:2.9,0
13:00,13:00.0,屋久島,,D81,16R,13:6.9,0
13:05,,沖縄/那覇,,着陸,16L,13:5.0,0
13:10,,東京,,着陸,16L,13:10.0,0
13:10,,札幌/新千歳,,着陸,16R,13:10.0,0
13:15,,香港,,着陸,16L,13:15.0,0
13:15,,沖縄/那覇,,着陸,16R,13:15.0,0
13:15,13:15.0,松山,,D6,16L,13:18.1,0
13:20,,仙台,,着陸,16R,13:20.0,0
13:20,13:20.0,東京,,D9,16L,13:23.5,0
13:25,,東京,,着陸,16R,13:25.0,0
13:25,,福江,,着陸,16L,13:25.0,0
13:25,13:25.0,沖縄/那覇,,D12,16L,13:29.2,0
13:35,,名古屋/中部,,着陸,16R,13:35.0,0
13:40,,札幌/新千歳,,着陸,16L,13:40.0,0
13:40,,東京,,着陸,16R,13:40.0,0
13:45,,台北/桃園,,着陸,16L,13:45.0,0
13:50,,屋久島,,着陸,16R,13:50.0,0
13:50,13:50.0,沖縄/那覇,,D11,16L,13:54.0,0
13:50,13:50.0,東京,,D5,16R,13:53.6,0
13:55,,東京,,着陸,16R,13:55.0,0
13:55,,対馬,,着陸,16L,13:55.1,1
13:55,13:55.0,仙台,,D11,16R,13:59.6,0
14:00,,松山,,着陸,16L,14:0.0,0
14:00,14:00.0,関西,,D2,16R,14:4.1,0
14:00,14:00.0,札幌/新千歳,,D4,16L,14:3.7,0
14:05,,新潟,,着陸,16L,14:5.0,0
14:05,,東京,,着陸,16R,14:5.2,1
14:05,,プサン,,着陸,16L,14:6.0,1
14:05,14:05.0,対馬,,D81,16R,14:11.9,0
14:05,14:05.0,東京,,D7,16L,14:8.4,0
14:15,,沖縄/那覇,,着陸,16L,14:15.0,0
14:15,14:15.0,東京,,D10,16R,14:19.3,0
14:15,14:15.0,東京,,D6,16L,14:18.1,0
14:15,14:15.0,香港,,I53,16L,14:21.1,0
14:20,,大阪,,着陸,16R,14:20.4,1
14:25,,東京,,着陸,16R,14:25.0,0
14:25,,成田,,着陸,16L,14:25.0,0
14:25,14:25.0,札幌/新千歳,,D8,16L,14:27.9,0
14:25,14:25.0,小松,,D82,16R,14:32.1,0
14:30,,マニラ,,着陸,16L,14:30.0,0
14:30,,東京,,着陸,16L,14:31.0,1
14:30,14:30.0,宮崎,,D6,16L,14:33.1,0
14:30,14:30.0,鹿児島,,D81,16R,14:36.9,0
14:40,14:40.0,新潟,,D3,16L,14:43.5,0
14:45,14:45.0,名古屋/中部,,D1,16R,14:49.1,0
14:45,14:45.0,東京,,D1,16L,14:48.5,0
14:45,14:45.0,台北/桃園,,I56,16L,14:51.8,0
14:55,,マニラ,,着陸,16R,14:55.0,0
14:55,,東京,,着陸,16L,14:55.0,0
14:55,14:55.0,プサン,,I54,16L,15:1.3,0
15:00,,小松,,着陸,16R,15:0.0,0
15:00,,宮崎,,着陸,16R,15:1.0,1
15:00,,沖縄/那覇,,着陸,16R,15:2.0,2
15:00,15:00.0,沖縄/那覇,,D11,16L,15:4.0,0
15:00,15:00.0,東京,,D9,16R,15:4.1,0
15:00,15:01.0,大阪,,D11,16L,15:5.0,1
15:00,15:00.0,宮崎,,D82,16R,15:7.1,0
15:05,,名古屋/中部,,着陸,16L,15:6.1,2
15:10,,東京,,着陸,16L,15:10.0,0
15:10,15:10.0,成田,,D4,16R,15:14.3,0
15:10,15:10.0,東京,,D2,16L,15:13.4,0
15:15,,名古屋/中部,,着陸,16L,15:15.0,0
15:20,,松山,,着陸,16R,15:20.0,0
